planet_key,planet_name,planet_status,discovered,publication,detection_type,mass_detection_type,radius_detection_type,molecules,alternate_names,row_current,current_as_of,row_expired_date
6766,Kepler-920 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J18571126+4909312 b, K01650.01, KIC 11337372 b, KOI-1650 b, KOI-1650.01, WISE J185711.26+490931.0 b",True,2022-05-01,
6767,Kepler-920 c,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J18571126+4909312 c, K01650.02, KIC 11337372 c, KOI-1650 c, KOI-1650.02, WISE J185711.26+490931.0 c",True,2022-05-01,
6768,Kepler-921 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J18582788+4911269 b, K01651.01, KIC 11337833 b, KOI-1651 b, KOI-1651.01, WISE J185827.89+491126.7 b",True,2022-05-01,
6769,Kepler-922 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J18585555+4931595 b, K01655.01, KIC 11547505 b, KOI-1655 b, KOI-1655.01, WISE J185855.57+493159.4 b",True,2022-05-01,
6770,Kepler-923 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19364106+4003186 b, K01665.01, KIC 4932442 b, KOI-1665 b, KOI-1665.01, WISE J193641.06+400318.5 b",True,2022-05-01,
6771,Kepler-924 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19224044+4023517 b, K01669.01, KIC 5183357 b, KOI-1669 b, KOI-1669.01, WISE J192240.44+402351.8 b",True,2022-05-01,
6772,Kepler-925 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19202556+4029263 b, K01672.01, KIC 5269467 b, KOI-1672 b, KOI-1672.01, WISE J192025.56+402926.1 b",True,2022-05-01,
6773,Kepler-926 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19184304+4042016 b, K01677.01, KIC 5526717 b, KOI-1677 b, KOI-1677.01, WISE J191843.04+404201.6 b",True,2022-05-01,
6774,Kepler-927 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19173204+4123337 b, K01683.01, KIC 6034945 b, KOI-1683 b, KOI-1683.01, WISE J191732.03+412333.6 b",True,2022-05-01,
6775,Kepler-928 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19194097+4132341 b, K01687.01, KIC 6198999 b, KOI-1687 b, KOI-1687.01, WISE J191940.95+413233.9 b",True,2022-05-01,
6776,Kepler-929 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19535546+4136552 b, K01688.01, KIC 6310636 b, KOI-1688 b, KOI-1688.01, WISE J195355.46+413655.2 b",True,2022-05-01,
6777,Kepler-93 b,Confirmed,2014.0,Published in a refereed paper,Primary Transit,,,,"2MASS J19254039+3840204 b, K00069.01, KIC 3544595 b, KOI-69 b, KOI-69.01, WISE J192540.36+384020.4  b",True,2022-05-01,
6778,Kepler-93 c,Confirmed,2014.0,Published in a refereed paper,Radial Velocity,,,,"2MASS J19254039+3840204 c, K00069.10, KIC 3544595 c, KOI-69 c, KOI-69.10, WISE J192540.36+384020.4  c",True,2022-05-01,
6779,Kepler-930 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19531546+4214507 b, K01695.01, KIC 6803855 b, KOI-1695 b, KOI-1695.01, WISE J195315.46+421450.7 b",True,2022-05-01,
6780,Kepler-931 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19483183+4246057 b, K01700.01, KIC 7220429 b, KOI-1700 b, KOI-1700.01, WISE J194831.83+424605.8 b",True,2022-05-01,
6781,Kepler-932 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19474849+4316190 b, K01706.01, KIC 7626370 b, KOI-1706 b, KOI-1706.01, WISE J194748.49+431619.2 b",True,2022-05-01,
6782,Kepler-933 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19181647+4332190 b, K01710.01, KIC 7815744 b, KOI-1710 b, KOI-1710.01",True,2022-05-01,
6783,Kepler-934 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19210923+4345191 b, K01711.01, KIC 7955580 b, KOI-1711 b, KOI-1711.01, WISE J192109.22+434519.0 b",True,2022-05-01,
6784,Kepler-935 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19400520+4637091 b, K01716.01, KIC 9838949 b, KOI-1716 b, KOI-1716.01, WISE J194005.20+463709.1 b",True,2022-05-01,
6785,Kepler-936 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19341866+4644108 b, K01717.01, KIC 9895006 b, KOI-1717 b, KOI-1717.01, WISE J193418.66+464410.9 b",True,2022-05-01,
6786,Kepler-937 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19364051+4642525 b, K01718.01, KIC 9896558 b, KOI-1718 b, KOI-1718.01",True,2022-05-01,
6787,Kepler-937 c,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19364051+4642525 c, K01718.02, KIC 9896558 c, KOI-1718 c, KOI-1718.02",True,2022-05-01,
